epoch,accuracy,train_loss,test_loss
0,0.638297872,0.625131363,0.513062841
1,0.805555556,0.430439614,0.374441159
2,0.825531915,0.2144986,0.400257702
3,0.795744681,0.114458796,0.555438206
4,0.834042553,0.090971363,0.409895909
5,0.8,0.04327791,0.688300408
6,0.825531915,0.033560414,0.526220435
7,0.863829787,0.027778052,0.466114153
8,0.834042553,0.03751005,0.519680238
9,0.846808511,0.00543209,0.612003587
10,0.834042553,0.008104195,0.615946446
11,0.838297872,0.019601325,0.621890164
12,0.85106383,0.012753583,0.549420379
13,0.85106383,0.027740295,0.503832752
14,0.846808511,0.004342371,0.558561316
