epoch,accuracy,train_loss,test_loss
0,0.54893617,0.64320786,0.601101655
1,0.612765957,0.603362615,0.550738382
2,0.595744681,0.534876465,0.685637665
3,0.634042553,0.516124308,0.635343045
4,0.65106383,0.442894484,0.655648617
5,0.634042553,0.448896282,0.612469649
6,0.629787234,0.380835688,0.732334112
7,0.646808511,0.380947519,0.665306046
8,0.65106383,0.35320078,0.671880987
9,0.680851064,0.346216068,0.616690975
10,0.685106383,0.315145971,0.662657349
11,0.685106383,0.26965562,0.672822968
12,0.676595745,0.28570499,0.679805236
13,0.693617021,0.225002227,0.644669677
14,0.70212766,0.230704696,0.682779551
15,0.70212766,0.264644276,0.678822348
16,0.70212766,0.227119376,0.697263993
17,0.706382979,0.199880644,0.708591684
18,0.685106383,0.221945912,0.746703672
19,0.693617021,0.206977739,0.724289407
20,0.69787234,0.214919818,0.723366615
21,0.706382979,0.20079168,0.706840378
22,0.693617021,0.192762072,0.762331095
23,0.693617021,0.172607964,0.746270747
24,0.693617021,0.194319242,0.772593956
