title,content,theme,label
"New Suicide Fears For Owen Wilson After Dad’s Death
","The death of Owen Wilson’s beloved dad has friends fearing the tortured actor might spiral back into a pit of depression!
",celebrity,0
"Tory ministers have saved an iconic gay bar once visited by Princess Diana
","“Owen is devastated over his dad’s death,” confided a source. “He meant the world to him!”
",celebrity,0
"Caitlyn Jenner and O.J. Simpson Are Set to Reunite on TV: ""It Would Be Fascinating!"" (EXCLUSIVE)
","Legendary TV producer Robert Wilson — father to actors Owen, Luke and Andrew — died at 75 on May 5 after a years-long struggle with Alzheimer’s disease.
",celebrity,0
"Billy Bush's wife is 'furious' at him after Trump interview leak
","“For me and my brothers, there just wasn’t a bigger influence on us,” said the Zoolander star, 48. “I really believe that his spirit gets carried on through me.”
",celebrity,0
"What Nicki Minaj wore to Serena Williams' wedding is not really OK ... rocking on up in white leather hotpants and a crop top is kinda too much.
","As RadarOnline.com reported, Wilson was rushed to the hospital in Santa Monica, Calif. in August 2007, after swallowing a fistful of prescription pills and cutting his wrists in a suicide bid.
",celebrity,0
"Warner Bros. FINALLY Planning ‘ Gossip Girl ’ The Movie!
","Pals revealed the actor had been devastated over a string of failed romances, including a bitter breakup with actress Kate Hudson.
",celebrity,0
"Tom Hiddleston Still Embarrassed About Taylor Swift: Ignores Fans and Media at Comic-Con | Celeb Dirty Laundry
","By early 2008, Owen was boozing again, and friends feared it could trigger another suicide attempt.
",celebrity,0
"Whoopi Goldberg & New Host Rosie O'Donnell At War - Tension On 'The View,' Fighting Over Seating Arrangements
","Now the loss of his father has sparked new fears for the Wedding Crashers comedian.
",celebrity,0
"Drake Facing Gay Rumors After Getting Frisky With Another Man... The Weeknd! [PHOTOS]
","Said a pal, “We all need to keep an eye on him.”
",celebrity,0
"Selena Gomez Thinks Justin Bieber’s ‘Soft Lips’ Makes Him ‘The ‘Best Kisser Ever’
","One of Britain's most famous gay bars which Princess Diana reportedly visited with Freddie Mercury was today given listed building status.
",celebrity,0
"Caitlyn Jenner Looks to New Girlfriend for Support as She Goes Deaf
","The iconic Royal Vauxhall Tavern, which featured in last year's hit film Pride about the 1984-5 Miners' Strike and where Lily Savage once started a riot, was given Grade II protection.
",celebrity,0
"Tyra Banks Sued for Causing 'Emotional Distress' During ‘America’s Got Talent’ Taping
","The 153-year-old pub - one of Britain's most famous gay bars and close to spy agency MI6's headquarters at Vauxhall Cross - has been at the centre of a planning row after being sold to property developers last year.
",celebrity,0
"Inside Rob K. & Mehgan James' Romance: Why His Fam ''Doesn't Approve''
","But the listing will make it much more difficult to close the bar and build flats - and is a victory for the RVT Future campaign.
",celebrity,0
"ROSIE O FLEES CRAZY ""HOUSEWIVES"" NEIGHBORS
","Founder Amy Lamé said: ""The listing is a fantastic milestone for our community and a victory against the odds for our beloved pub.
",celebrity,0
"Jennifer Aniston sends fiance Justin Theroux to 'commitment camp'
","""We look forward to continuing our work to ensure the RVT remains a vibrant space of LGBTQ (lesbian, gay, bisexual, transgender and queer) community and culture for generations to come.""
",celebrity,0
"Heartbroken Jennifer Aniston Runs For The Border To Adopt
","The pub has a rich and colourful history.
",celebrity,0
"Kanye West -- 'Nervous Breakdown' ... Pushed Over Edge by Anniversary of Mom's Funeral
","Princess Diana was allegedly disguised as a male model and smuggled into the venue in the late 1980s.
",celebrity,0
"Taylor Swift 'files documents to launch streaming service'
","Queen singer Freddie and comedians Cleo Rocos and Kenny Everett dressed Diana in an army jacket, cap and sunglasses for a night out at the south London pub.
",celebrity,0
"JLo Dumped By NBC After Terrible Ratings - EXCLUSIVE
","Lily Savage once started a riot at the RVT when it was raided by cops in 1984.
",celebrity,0
"Tyga To Reveal The Ugly Truth About Kylie Jenner And Kardashians In New Tell-All Book, Insiders Say
","And it featured in the smash hit movie Pride, which told the story of how a group of striking Welsh miners received the unusual backing of a group of lesbian and gay activists from London's emerging gay scene, with the pub acting as a backdrop.
",celebrity,0
"Katie Holmes and Jamie Foxx Come Out As an Item, After 'Tom Cruise Ban' Expires
","The RVT's supporters include TV host Graham Norton and Lord of the Rings star Sir Ian McKellen.
",celebrity,0
"Kanye West: If He's Not North's Father, Which Of Kim Kardashian's Exes Is?
","Historic England's Director of Listing Roger Bowdler said: ""The Royal Vauxhall Tavern is an enduring and important venue for the LGB&T community.
",celebrity,0
"Kim Kardashian Hires Team To Help Her Become More ‘Political’ – ‘I Want To Speak Out More About Political Issues’
","""Built on the site of the Vauxhall Pleasure Gardens, it carries on the tradition of alternative and bohemian entertainment which is bound up in this part of London's history and identity.""
",celebrity,0
"Piano teacher Jamie Foxx
","Heritage Minister Tracey Crouch said: ""I am thrilled to be able to list the Royal Vauxhall Tavern as Grade II - the iconic cultural hub in the heart of London is of huge significance to the LGB&T community.
",celebrity,0
"O.J. Simpson will agree to Khloe Kardashian paternity test if she visits him in prison, former guard says
","""Not only of architectural interest, the venue has a longstanding historic role as a symbol of tolerance and alternative entertainment.""
",celebrity,0
"Why Celine Dion and Cher hate each other
","""Residing in Lambeth since 1860, the landmark venue has been the springboard for so many of our loved UK entertainers.
",celebrity,0
"Iggy Azalea and Odell Beckham Jr.: Dating!
","""I am delighted that the listing will preserve the history of this venue for future generations to enjoy. I hope that it continues to be filled with laughter and joy.""
",celebrity,0
"Kevin Hart: Why Wife Eniko ‘Just Can’t’ Leave Him Right Now Despite Cheating Scandal
","It’s hard to get much more sensational than this: a TV show pairing the world’s most famous transgender celebrity with the world’s most famous acquitted murder suspect — especially when both have connections to the Kardashians! Life & Style has exclusively learned that TV producers have come up with an idea to bring O.J. Simpson and his old pal Caitlyn Jenner together in a televised reunion.
",celebrity,0
"Report: Star Ariel Winter Wants To Get Pregnant ‘ASAP’
","The former football star, 70, who was acquitted of double homicide in 1995 and completed a nine-year prison stint on Oct. 1 for a 2007 armed robbery and kidnapping, has known Caitlyn, 68, since she was Olympic gold medalist Bruce. They also share the Kardashian connection: Long before Caitlyn married into the family, O.J. was best buds with Kris’ first husband, Robert. O.J. should be interested in the show, a source says, but there’s a snag: Caitlyn has “wanted nothing to do with O.J.” since the NFL star was charged with murdering his ex-wife Nicole Brown Simpson and her friend Ron Goldman.
",celebrity,0
"
","Though they haven’t approached her yet, producers are hoping to convince Caitlyn to sign on by pitching it as “an informative, interview-type show,” the source says, in which she introduces O.J. to the new Caitlyn and asks him probing questions about his ups and downs. “If they do it right,” says the source, “it would be fascinating.”
",celebrity,0
"http://www.dailymail.co.uk/tvshowbiz/article-5056567/Jennifer-Lopez-gets-cozy-star-Milo-Ventimiglia.html
","And while the public, might be hesitant to watch such a reunion, the producers are convinced plenty of people will tune in to view the show. “Love them or hate them,” says a source, “putting Caitlyn and O.J. in the same room would be must-see TV.”
",celebrity,0
"MTO EXPLOSIVE TEA: Word Coming Out Of BARBADOS . . . . Is That Rihanna Is PREGNANT . . . Just ONE MONTH After She's Seen FLIRTING With The Prince Of England!!!
","Billy Bush may have just posted a new selfie with his wife, but rumors are swirling that all is not well back in their California paradise.
",celebrity,0
"Justin Bieber Parties At Same Grammy Event As Ex Selena Gomez & The Weeknd
","The recently-fired Today Show host has moved back to Los Angeles after his now-infamous 2005 Access Hollywood interview with Donald Trump was leaked.
",celebrity,0
"Beyonce & Jay-Z Hire Former President Obama’s Secret Service Team
","But sources told Page Six that Sydney Davis, Bush's wife of 18 years, is furious about the tape and less than happy to have him back at home with their three daughters.
",celebrity,0
"Ryan Seacrest & Shayna Taylor On The Brink Over Host's Crazy NYC Lifestyle!
","'She was so furious that she refused to speak with him for a while,' an NBC insider told the site. 'They are having marriage problems.'
",celebrity,0
"A Thing For Blondes? Brad Pitt Is Ready To Move On With Margot Robbie
","In the tape, Bush can be heard calling actress Arianne Zucker 'hot as s***,' and also saying nothing while Trump makes lewd comments about his co-host Nancy O'Dell.
",celebrity,0
"Prince Harry is Moving to the US to Find a Wife!
","But the moment that really angered Davis, a source claims, was when Bush, after gawking at Zucker's legs, asked her if she would give him and the Donald 'a little hug'.
",celebrity,0
"It's Official: The Spice Girls Reunion Is Actually Happening
","'It wasn't just the vile talk,' the source said. 'It's because he insisted the woman hug him and Trump. It was creepy.'
",celebrity,0
"'Clueless' Kylie Jenner Desperate To Get Back Over $2 Million From Tyga
","Bush, 45, later released an apology for the interview and said he was 'embarrassed and ashamed', but did not make any mention of Davis.
",celebrity,0
"Kourtney Kardashian Neglecting Her Children To Party In Cannes? | Celeb Dirty Laundry
","'I was younger, less mature, and acted foolishly in playing along,' he said in the statement. 'I'm very sorry.'
",celebrity,0
"Julia Roberts and Danny Moder May Be Headed for Divorce: ""The Problems Keep Piling Up""
","The source said Davis is enraged that Bush 'was stupid enough to put himself in that position' and has now lost what could have been a life-changing gig.
",celebrity,0
"She’s Mine! Ellen DeGeneres And Charlize Theron In Showdown Over Portia de Rossi
","'Billy has brought him on himself,' they said. 'He's blown his big chance at Today and he doesn't have his old job at Access [Hollywood] to fall back on.'
",celebrity,0
