title,content,theme,label
"Angelina Jolie, Unbroken
","“I never expect to be the one that everybody understands or likes,” Angelina Jolie says. “And that’s O.K., because I know who I am, and the kids know who I am.”
",celebrity,0
"Late-Night Hosts React to O.J. Simpson Parole News
","“I never expect to be the one that everybody understands or likes,” Angelina Jolie says. “And that’s O.K., because I know who I am, and the kids know who I am.”
",celebrity,0
"The new directions of One Direction: what do the solo projects tell us?
","LOS ANGELES — Angelina Jolie was sitting barefoot on the porch of her luscious new home, explaining why she wants to save the world, when duty called. Her youngest son, Knox, 9, poked his little blond head around the screen door.
",celebrity,0
"'I was boozing too much': Brad Pitt talks about split from Angelina Jolie
","“Shiloh needs you,” the boy said quietly, referring to his middle sister, who is 11.
",celebrity,0
"'Au revoir for now': Kate and Wills bid a fond farewell to Paris after wowing the French during their two-day Brexit charm offensive 
","“Shi?” Ms. Jolie called, before disappearing with a whoosh of her black caftan. Ten minutes later, she was back. Shiloh’s beloved bearded dragon, Vlad, had fallen ill and was now, to Shiloh’s distress, convalescing at the vet’s. “That will be the rest of my day,” Ms. Jolie said, settling into a cushioned patio chair, “learning all about the health issues of the bearded dragon.”
",celebrity,0
"Miley Cyrus Reflects on Her Breakup With Liam Hemsworth: ""I Was on the Right Path""
","Ms. Jolie went on to lament the imbalance of a world where Californian pets get cushy care while millions of people the world over lack access to proper medical treatment. It went unmentioned that she was saying this from her $25 million two-acre hilltop estate, in a gated pocket of the Los Feliz neighborhood, a home she bought for herself and her six children in the spring, following her split from Brad Pitt.
",celebrity,0
"Zayn on Taylor Swift: ""I Think She Deserves Her Success""
","Perhaps more than any other celebrity, Ms. Jolie, 42, has kept herself firmly planted in two vastly different worlds. She’s both the glamorous A-lister whose every move is tracked in headlines (“Angie and the kids left Target because it didn’t serve hot dogs,” read one recent newsflash), and the humanitarian do-gooder who has made more than 60 trips to the field as part of her United Nations work. Apparent contradictions account for her elusive allure. Ms. Jolie has been enduringly hard to peg, a woman who cannot easily be lumped into a single category because she occupies many at once.
",celebrity,0
"Moving fashion forward: Brooding Tom Hiddleston has a new blonde in his life as he poses with dog for suave Gucci campaign after Taylor Swift split
","She is a peerless glamazon as well as the women’s health advocate who told the world about her preventative double mastectomy. She has a meticulously managed public profile yet professes not to care what others think. She remains near the pinnacle of celebrity’s cruel pyramid, even though her recent movies only made money when she was camouflaged (“Maleficent,” “Kung Fu Panda”). She is obsessed over — if, in the United States at least, not exactly beloved — and fixed in the cultural firmament as America’s vixen despite having a half-dozen-strong brood.
",celebrity,0
"'Please make babies!' Fans go into overdrive as they beg Prince Harry to DATE Rihanna after the pair meet in Barbados (but what about Meghan?)
","And even though the public appetite for salacious details of her personal life has long eclipsed interest in the films she has directed, Ms. Jolie doggedly brings tough, obscure stories to the screen. Three of the four movies she has made are set in wartime, including her latest, “First They Killed My Father,” based on the true story of Loung Ung, who as a young girl survived the Cambodian genocide and is now one of Ms. Jolie’s close friends.
",celebrity,0
"Jennifer Lopez teases Bye Bye Birdie, NBC's next live musical
","While Ms. Jolie’s earlier movies garnered tepid reviews, several critics have anointed “First They Killed My Father” her best yet. It is told entirely from the little girl’s point of view, in Khmer, and received a standing ovation at the Telluride Film Festival, where it had its premiere. Netflix was to begin streaming it on Sept. 15, when it will also open in a small number of theaters.
",celebrity,0
