title,content,theme,label
"First negative reactions to 'Pirates of the Caribbean 5' at CinemaCon
","""The Walt Disney Studios unveiled the fourth installment in their ""Pirates of the Caribbean"" franchise ""Dead Men Tell No Tales"" Wednesday night at CinemaCon in Las Vegas. Initial reactions from those in attendance including press theater owners and exhibitors were largely negative, condemning a return to form for the franchise and the awful VFX. Official reviews are under embargo until May 22. The swashbuckling film sees the return of Johnny Depp as Captain Jack Sparrow and Geoffrey Rush as Barbossa and introduces a new young cast including Brenton Thwaites and Kaya Scodelario. Javier Bardem plays a ghostly villain with a vengeance as they all search for the trident of Poseidon on the high seas. Orlando Bloom also returns as Will Sparrow who hasn't been in a ""Pirates"" film since 2007's ""At World's End."" ""Dead Men Tell No Tales"" is the first ""Pirates"" film since 2011's ""On Stranger Tides"" and the first to be directed by Joachim R?nning and Espen Sandberg. To date the franchise has grossed over $3.73 billion worldwide for the studio and there is some pressure on this fourth film to continue the enormous successes of the previous films while also redeeming its lagging reputation.""",news,0
"Sean Spicer tells reporter to 'stop shaking your head'
","White House Press Secretary Sean Spicer told a reporter to ""stop shaking your head"" while answering an African-American reporter's question on Tuesday. Spicer, clearly enraged by April Ryan, the Washington bureau chief for American Urban Radio Networks, shocked the entire White House Press Corps when he told her ""That is not the proper way to show respect to a man in authority."" A cacophony of remarks and questions ensued. Spicer added, ""Some people just didn't get proper home training. It's probably a cultural thing. She needs to look to Condoleeza Rice for a good role model. Now, does anyone ELSE have a question?"" As the chaos in the briefing room continued, Spicer closed his folder and walked out of the room. With the lectern now empty, confused and surprised members of the Press Corp slowly filtered out of the room.  As of press time, calls to the White House Press Office were not returned.",news,0
"Brazil decisively beats Paraguay to qualify for the 2018 World Cup
","The tight friendship and aggressive play of Brazil's Coutinho and Neymar played a key role in Brazil's 3-0 win over Paraguay on Tuesday.  As a result of the win and Peru's stunning win over Uruguay, Brazil has become the first team to qualify for the 2018 World Cup and is guaranteed a spot in Russia.  Coutinho and Neymar made a pact before the Paraguay game that they would bet their famous friendship on winning the game, and knowing how much they value each other's friendship, the win was almost a foregone conclusion.",news,0
"""Seemingly reversing course after a period of reflection, Wilfried Zaha has decided to rejoin the English National football team (that's soccer for you Americans). Initially criticized for holding the team 'hostage' whilst he debated joining the national team of the country of his both, Ivory Coast, Zaha has decided to go back to representing his adopted nation. Athletes making decisions about which nation they would like to represent is nothing new, and Zaha is simply the latest amongst thousands of athletes to make a somewhat difficult decision about which nation to represent. Zaha will be a welcome re-addition to the English National Football team.","Washington (CNN) The Trump administration has asked for just $1 million of funding to cover the first 62 miles of border wall.  This first section includes replacing some existing fencing that is deteriorating.  Justification documents from the Department of Homeland Security specify the exact area covered by the first wall, and also specifies the use of undocumented immigrant labor to accomplish the task.  ""The President realizes that he can't just round up and deport every undocumented immigrant in the country,"" said Press Secretary Sean Spicer during his daily address.  ""So instead he is putting them to work - they get an income, and we get a wall.  It's a win-win for everybody,"" Spicer said.",news,0
"First on CNN: Border wall will cost much less than anticipated due to cheap labor
","First lady Melania Trump has hired a well known actress and advocate for human rights as a member of her White House communications staff for her East Wing team.  Actress Angelia Jolie will serve as communications director for the first lady, the White House announced this Monday.  Jolie has been an international advocate of human right's and children's issues in addition to her well known roles as an actress.  ""It gives us great pleasure to hire Angelina in this new role"", remarked President Donald Trump.  ""I know Angelina will do a good job communicating everything that comes out of the Office of the First Lady, who is doing a tremendous job by the way"", remarked Trump.  Jolie is well known for her acting and humanitarian efforts, but recently has been in the news because of a split with her husband, Brad Pitt.",news,0
"Melania Trump hires Angelina Jolie as her communications director
","China's Tencent spent $1.78 billion to begin ownership of electric carmaker Tesla. Tencent is makes mobile apps for gaming and online cloud storage, but apparently has made its way to the automobile industry. Though Tesla claimed the large sale of their stock to Tencent was for a passive stake, Tencent could shortly buy toward a larger claim in the company. In spite of this, shares in Tesla rose slightly in early trading.",news,0
"CHINA'S TENCENT BEGINS SLOW TAKEOVER OF TESLA
","""EU regulators have blocked London Stock Exchange's £41bn merger with German stock exchange Deutsche Boerse. The European Commission said the deal would have been a moral outrage. The merger would have combined Europe's two largest stock exchange operators. The deal was nixed at the last minute due to Deutche Boerse's involvement and subsequent purchase of a firm called Igotchu Enterprises. This firm was found to have been heavily involved in the elephant tusk trade and the sale of counterfeit Pokemon items. Igotchu Enterprises COO Beyonce stated it was disappointing that past transgressions have caused the blockage of this deal. Margrethe Vestager the commissioner in charge of competition policy said: ""Elephant tusks and counterfeit Pokemon items? Really? Who does that? This is appalling on so many levels.""",news,0
"London Stock Exchange-Deutsche Boerse deal blocked by EU
","Kentucky Wildcat Coach John Calipari put the rest of the team on notice: ""Guys are you watching this game? Good. Then you know we're playing through De'Aaron Fox. The rest of you take a back seat.""  Fox showboated his way through the game, leaving the rest of the team without much to do during their game with UCLA at the FedEx Forum. Calipari kept instructing the team to keep passing the ball to Fox, and fortunately Fox managed to lead the team to an 86-75 victory. Their next game is with North Carolina in the regional final, of which Calipari bragged, ""I'm looking forward to the game. I'm jacked up!""",news,0
"KENTUCKY's JOHN CALIPARI HOLDS BACK TEAM IN FAVOR OF DE'AARON FOX
","""Even for 10 minutes Curtis Granderson can't restrain himself. On a recent morning here in spring training before the start of his 12th full major league season he was talking about how at age 36 he will handle the rigors of chasing down balls in center field. As he talked he asked for a brief timeout and reached for the 12-ounce water bottle he had left on the floor beside his locker.  It's breaks like these that support Granderson's recent statement that baseball was his least favorite sport, but that he only plays it for the money.  This was his sixth bottle of the day and it wasn't yet noon. There would likely be another six before the day was done. ""You always see him just crushing water said his fellow outfielder Michael Conforto, who is 12 years younger than Granderson. Granderson drinks by the sip.  He tries to take all the time he can from playing the sport.  Thus, a 24-pack of 12-ounce bottles is always adjacent to his locker.",news,0
"Baseball Is The Least Favorite Sport to the Mets' Granderson
","In order to bring into fruition the globalist agenda of of gender equality, far left leaning universities advocating for women to be put into positions over their more qualified male counterparts in order to tighten the gender gap in certain male-dominated science, technology, engineering and math fields. The George Soros funded study, ""Why Are Some STEM Fields More Gender Balanced Than Others?"" draws on previous works on STEM gender gaps for male dominated fields.",news,0
"Gender is a ""hot topic"" in the field of forensic anthropology. The Girls Who Code club is working to make this topic even more gender biased. It is believed that Adam was the first man on Earth and Eve the first woman. The club intends to prove the chicken came before the egg if you will. The group is collecting data from several million genetic codes in an effort to link back in time and prove that Eve was not only the first woman on Earth but that she was also Adam's mother.","""Bury him, fans, he died. The actor who plays Huck on ""Scandal"" has some words of confirmation for fans who speculated Huck was still alive after last week's cliffhanger episode in which his character was shot multiple times. Guillermo Diaz is cautioning folks to remember ""Scandal"" is often full of surprises, but this is not one of them. The actor told entmt Tonight that the script in which Meg shot Huck ""just blew me away -- no pun intended."" ""My reaction was I was in complete and utter disbelief but excited too he said. It's such a great script it's so juicy! As an actor I was just thrilled to see my character off in such grandiose fashion."" Diaz said the show's creator Shonda Rhimes can be credited with the writing of this death scene.""",news,0
"Leftist universities seek to put women in positions of power over men who are more qualified.
","Tomi Lahren is known for her online video discussions on feminism and women's rights.  She is loved by both liberals and conservatives for speaking her mind and speaking up for both women and minorities.  In one video she says, ""Feminists are about the freedom of expression.  It doesn't matter your size or sexual preference.""  Lahren may be a young (25-year-old) woman, but her comments and videos are filled with kindness and support.  For example, in one video she states, ""Syrian refugees fleeing for their lives, and the lives of their children, are brave souls leaving behind their home and country.""  She later tweeted, ""America is known for faith, family, and freedom.  Please, remember these ideals and accept and help Syrians trying to enter into our country.""",news,0
"In midst of speculation, Huck is confirmed dead on 'Scandal'
","Nintendo plans a promotional roll out of it's new Nintendo switch game console.  For a limited time, the console will roll out for an introductory price of $99.  Nintendo promises to pack the new console with fun features not present in past machines.  The new console contains new features such as motion detectors and immersive and interactive gaming.  The new introductory price will be available for two months to show the public the new advances in gaming.  However, initial quantities will be limited to 250,000 units available at the sales price.  So rush out and get yours today while the promotional offer is running.",news,0
