title,content,theme,label
"Protesters Disrupt DeVos School Visit
","Protesters on Friday morning attempted to thwart a visit to a District of Columbia middle school by newly confirmed Education Secretary Betsy DeVos.
",news,0
"First lady Melania Trump touts equality at International Women's Day luncheon
","""Stop DeVos and fund black futures,"" a group of around two dozen demonstrators chanted outside Jefferson Academy.
",news,0
"Macron and Le Pen Spar
","Demonstrators reportedly blocked the path of a vehicle they believed DeVos was in, as well as her actual car. ""I tried to block her vehicle when it came in by physically standing in front of it silently,"" an activist with Showing Up for Racial Justice explained in a video posted to Periscope.",news,0
"Trump's Pick for Education Could Face Unusually Stiff Resistance
","Washington (CNN) First lady Melania Trump spoke about equality, freedom and the responsibility women have to help each other achieve success at an invitation-only luncheon honoring International Women's Day Wednesday at the White House.
",news,0
"How 'Bones' bred a new generation of female scientists
","""As an immigrant myself, having grown up in a communist society, I know all too well the value and importance of freedom and equal opportunity -- ideals which this great nation was founded and has continued to strive towards throughout its history,"" Trump said according to her prepared remarks obtained by CNN from Stephanie Winston Wolkoff, senior adviser and chief strategist to the first lady.",news,0
"School Starts Too Early In The Morning, State Lawmaker Says
","Anticipating French Election Runoff  ""With more than three weeks still to go before the first round of voting  Marine Le Pen and Emmanuel Macron are already campaigning like they were the only candidates left in the race to become France's next president. With most recent polls suggesting anti-euro Le Pen and the centrist Macron are more than five points ahead of their nearest challenger for the two slots in the May 7 runoff  the front-runners traded barbs over the weekend as the other candidates faded into the background. Macron called Le Pen a ""a liar"" over a pledge to eliminate immigration  while the nationalist portrayed her rival as a puppet of the French elite. On Europe 1 radio on Monday  she said he's soft on migration.",news,0
"Chris Pratt responds to body shamers telling him he's too thin
","Nominees for secretary of education have typically breezed through confirmation by the Senate with bipartisan approval.
",news,0
"Wi-Fi Microscopes Help Texas Students With Science
","But Betsy DeVos, President-elect Donald J. Trump's choice for the post, is no typical nominee. She is a billionaire with a complex web of financial investments, including in companies that stand to win or lose from the department she would oversee. She has been an aggressive force in politics for years, as a prominent Republican donor and as a supporter of steering public dollars to private schools.
",news,0
"Trump targets tech's H-1B visa hiring tool
","Her wealth and her politics seem likely to make her confirmation hearing unusually contentious, and possibly drawn out.",news,0
"Tesco to pay £129m fine over accounting scandal
","Fox's ""Bones"" is coming to an end on Tuesday having produced 246 episodes of often-gory crime cases  cracked by a team led by the brilliant Dr. Temperance Brennan (Emily Deschanel). For some female viewers of the long-running series  the show has been about much more than entmt; it's encouraged them to pursue a career in science. Morgan O. John is one of them. She's a ""bonehead"" -- a term of endearment used by fans of the show to describe themselves as a collective -- but also anything but. The 22-year-old is just months away from completing a double major in anthropology and French at Texas Christian University in Fort Worth  Texas. Growing up in what she describes as "" a very  very  very  isolated rural town in Southwest Louisiana  many head to work or the nearest community college after graduating from high school and live quiet  uncomplicated"" lives.",news,0
"Machine Learning Opens Up New Ways to Help Disabled People
","If Senator Anthony Portantino gets his way, California will be the first state in the nation to ensure that teenagers can go to school without sacrificing a good night's sleep. This week he introduced SB328, a bill that would require California school districts to start middle and high school classes no earlier than 8:30 a.m.
",news,0
"Will Smith reunites with Fresh Prince of Bel-Air pals
","""Every year we discuss as parents, educators, and legislators, best practices and interests of the children and education,"" says Portantino. ""Well, data is clear: starting the school day later improves the quality of education, health, and welfare of our children. So let's do it.",news,0
"German Power Spat With Denmark Holds Up Single Market Trade
","Big or small  Chris Pratt has heard it all. These days  the ""Guardians of the Galaxy"" star  37  is taking flak for being too thin  but he's not taking it lying down. Pratt  who has been documenting the healthy snacks he's eating while filming ""Jurassic World 2"" in a series of ""What's My Snack"" Instagram videos  fired back -- in his usual tongue-in-cheek manner -- after some followers apparently suggested he looked too thin. ""So many people have said I look too thin in my recent episodes of #WHATSMYSNACK  he wrote on Instagram Thursday. Some have gone as far as to say I look 'skeletal.' Well  just because I am a male doesn't mean I'm impervious to your whispers. Body shaming hurts.""",news,0
"Trump calls Democrats 'losers' after GOP health bill failure
","CORPUS CHRISTI, Texas (AP) - Once students began opting to trade in precious recess time for more time in the classroom, Teri Gonzalez knew the school's investment had paid off. 
",news,0
" Roger Federer beats Frances Tiafoe on return to Miami Open
","""If it helps them to begin nurturing that love for science, I'm willing to allow them more time to learn,"" the fifth-grade teacher at Magee Elementary School said.
",news,0
"Mo Farah: Doctor who gave controversial supplement infusion to face MPs
",The Corpus Christi Caller-Times (http://bit.ly/2gdcS3V) reports the investment comes in the form of 57 Wi-Fi microscopes purchased by officials at the school for its K-5 student curriculum.,news,0
"White House keeps up sanctuary cities pressure with funding threat
","SAN FRANCISCO - President Trump's relationship with Silicon Valley has always been volatile at best, but it seems things soon may get even more contentious.
",news,0
"Sweden Warned Not to Return to High-Tax 70s as Incomes Squeezed
","The CEOs of Microsoft, Apple, Netflix, Uber, Airbnb and Tesla Motors noted the policy was affecting their own employees working here legally, and would jeopardize their competitive quest for talent. Google CEO Sundar Pichai was among the first to condemn the order, noting that it impacted nearly 200 employees, risking stranding some abroad.
",news,0
" 'Bates Motel' slashes into 'Psycho' in final season
","Administration officials have drafted a new executive order aimed at overhauling, among other things, the H-1B work-visa program that technology companies have long relied on to bring top foreign engineering talent to their U.S.-based locations.",news,0
"GPS device to prevent false Everest claims by climbers
",Tesco is to pay out £235m to settle investigations by the Serious Fraud Office and Financial Conduct Authority into the 2014 accounting scandal that rocked Britain's biggest retailer. It will pay a fine of £129m as part of a deferred prosecution agreement (DPA) with the SFO  although this deal requires court approval. The DPA relates to Tesco subsidiary Tesco Stores Ltd. The supermarket group has separately agreed with the FCA to pay about £85m in compensation to investors affected by a trading statement on 29 August 2014 that overstated profits. Tesco will also pay legal costs associated with the agreements and said the total exceptional charge was expected to be £235m.,news,0
"Arne Duncan Blasts Trump Administration Over Transgender Guidance
","CC rules require TV stations to provide closed captions that convey speech, sound effects, and audience reactions such as laughter to deaf and hard of hearing viewers. YouTube isn't subject to those rules, but thanks to Google's machine-learning technology, it now offers similar assistance.
",news,0
"Roger Federer beats Roberto Bautista Agut as Stan Wawrinka loses to Alexander Zverev
","YouTube has used speech-to-text software to automatically caption speech in videos since 2009 (they are used 15 million times a day). Today it rolled out algorithms that indicate applause, laughter, and music in captions. More sounds could follow, since the underlying software can also identify noises like sighs, barks, and knocks.",news,0
"U.S. Travel Industry Fears a 'Lost Decade' Under Trump
","Will Smith has reunited with the cast from The Fresh Prince Of Bel-Air - more than 20 years after the show ended its six-year run. Six members of the show posed for a photo  which was shared by Alfonso Ribeiro  who played Carlton in the hit 90s US show. In the Instagram post  Ribeiro wrote: ""Always amazing to spend an afternoon with my Fresh Prince family. ""Wishing that James Avery was still with us to make this complete."" Avery  who played Uncle Phil  died in 2013. Smith and Ribeiro were joined by Tatyana Ali (Ashley)  Karyn Parsons (Hilary)  Daphne Maxwell Reid (Vivian) and Joseph Marcell (Geoffrey).",news,0
" Uber to shut down Denmark operation over new taxi laws
",A long-running squabble between Denmark and Germany over power cables linking the countries has cut the amount of electricity Nordic producers can supply to Europe's biggest market to the lowest level in 17 years.  Germany cut import capacity from mainland Denmark by 89 percent on average last year  the most since a power market between the nations started in 2000. It's a consequence of Chancellor Angela Merkel's unprecedented Energiewende: the shift to wind and solar power mean surges in renewable energy production make it hard for the nation's grids to handle its own electricity  let alone imports.  The dispute is undermining the European Union's goal of breaking down national barriers for power to boost energy security and cut costs through more cross-border trading. Talks between Germany and Denmark have floundered  with no resolution emerging from their latest meeting on the matter in Berlin last week.,news,0
" Teen with cancer dies days after Beyonce FaceTimes with her
","President Donald Trump spoke out Friday afternoon after Republicans pulled the Obamacare overhaul he had endorsed, criticizing Democratic opposition to the bill and passing off the responsibility for its failure.
",news,0
"A Google computer victorious over the world's 'Go' champion
","""I've been saying for the last year and a half that the best thing we can do politically speaking is let Obamacare explode,"" said Trump, who supported the plan and spent much of the past week personally lobbying for its success.
",news,0
"Healthier Cereals Snare a Spot on New York School Menus
",The American Health Care Act was pulled from an anticipated vote Friday afternoon after it became apparent the bill did not have enough votes to pass.,news,0
"Apple cuts prices on lower-end iPads, releases red iPhones
","Roger Federer beat American teenager Frances Tiafoe in his first match at the Miami Open for three years. The Swiss  35  defeated the 19-year-old qualifier 7-6 (7-2) 6-3 to take his 2017 record to 14 wins and one loss. Federer  who won has won the Australian Open and Indian Wells titles this year  missed Miami through illness in 2016. Top seed Stan Wawrinka beat Horacio Zeballos 6-3 6-4  while women's fifth seed Agnieszka Radwanska was thrashed 6-0 6-3 by Mirjana Lucic-Baroni. ""It's quite tough conditions  raining and really windy today  Swiss Wawrinka said. It's really windy on the court  so it's never easy. I'm happy with the way I was moving  the way I was playing and my attitude in general was really positive  so it's a great match."" Federer picked up where he left off in Indian Wells  winning his first 20 service points on the way to overcoming an impressive effort from Tiafoe  the world number 101.",news,0
"Bill O'Reilly apologizes after making racially charged joke about congresswoman
",The doctor who treated Mo Farah with a controversial infusion has been summoned to give evidence to MPs. The infusion of the legal supplement L-carnitine  given to Farah in 2014 before a major race  is being looked at by the US Anti-Doping Agency (Usada) to determine whether rules were broken. Dr Robin Chakraverty carried out the treatment on the instruction of Farah's American coach Alberto Salazar. He will appear before the Culture  Media and Sport Committee on 19 April. MPs have also asked to speak with UK Athletics' head of endurance Barry Fudge as part of their ongoing investigation into doping in sport. Fudge works closely with Farah and Dr John Rogers  a medic for the British athletics team who reportedly raised concerns about Salazar's methods.,news,0
"Renegotiate Nafta? Mexicans Say Get On With It
","Washington (CNN)Attorney General Jeff Sessions outlined Monday how the Trump administration will use federal funds to crack down on ""sanctuary cities"" and states that choose not to comply with federal immigration laws, as it has threatened to do since January.
",news,0
"Back Channel to Trump: Loyal Aide in Trump Tower Acts as Gatekeeper
","The comments came after the Trump administration has made a concerted effort to pressure the so-called ""sanctuary"" jurisdictions as part of its aggressive push to enforce immigration laws.
",news,0
" Maria Sharapova claims she 'fought for truth' as tennis doping ban return nears
","The term refers to jurisdictions like major cities including Los Angeles, Chicago and Philadelphia that have policies in place that limit cooperation in enforcing federal immigration laws and protect local immigrant populations.",news,0
"Toronto Cancels U.S. Class Trips Due To Trump Travel Ban Concerns
","Don't return Sweden to the high taxes of the 1970s and 1980s. That warning comes from Sweden's state-funded economic think tank as the Social Democratic-led government has been raising taxes on workers  while planning to cut levies on pensioners and those collecting benefits. ""There are big negative effects  at least in the longer term  of higher state income tax and the marginal tax rate  Urban Hansson Brusewitz, director-general at the National Institute of Economic Research, said in an interview Tuesday in Stockholm. Should things head in this direction too long it would be harmful for Sweden."" ",news,0
"Are Autonomous Cars Ready to Go It Alone?
","There's a fine line between creative risk-taking and sacrilege when dealing with well-known properties. While ""Bates Motel"" might not have committed the latter  it has seemingly sacrificed the right to bill itself as a prequel to ""Psycho."" The A&E series always appeared to come with a built-in expiration date  facing the danger of running out of real estate as it chewed through story related to Alfred Hitchcock's 1960 horror classic. The contemporary setting also made the proceedings less spooky  what with cellphones and other modern devices that alter the dynamics of  say  being alone in the basement with a murderer dressed like his mom. Still  the announcement of a fifth and final season that would overlap with the movie actually created some excitement: after an ill-advised remake  this offered an alternate window into the story  including how these events unfolded from the perspective of Norman/Norma Bates.",news,0
" Eddie Lacy joins Seattle Seahawks on one-year deal
","Nepal will provide GPS tracking devices to some mountaineers who attempt to scale Mount Everest this year to prevent them from making false summit claims and to track climbers in distress, an official said on Monday.
",news,0
"6-year-old got gun at LA-area school; families kept in dark
","Climbers who reach the 8,850-metre (29,035-feet) Everest summit must produce photographs showing them at the top as proof of their ascent, as well as a report from their liaison official who stays at base camp.
",news,0
"Administration Sets New Rules for Federal Child Care Program
",The government banned an Indian couple from mountaineering in Nepal for 10 years last year after they faked a photograph to show them atop the world's tallest peak.,news,0
"You've Been Accepted to Columbia. Oops, Our Error.
","Former Education Secretary Arne Duncan has blasted the Trump administration's decision to repeal guidance that sought to ensure transgender students have access to a bathroom that matches their gender identity.
",news,0
"Why Silicon Valley isn't fighting to save the Internet (yet)
","""This week's decision by the Trump administration to withdraw guidance to school communities about how to protect transgender students reflects a fundamental misunderstanding of the federal role in protecting the civil rights of students,"" Duncan and Catherine Lhamon, former assistant education secretary for civil rights, wrote in an op-ed in the The Washington Post. ""Worse yet, it confuses states and school districts, and puts real, live children at greater risk of harm.",news,0
"Fruit-shaped sensor 'can improve freshness'
",Roger Federer saw off Roberto Bautista Agut at the Miami Open to remain on course for back-to-back Masters titles but top seed Stan Wawrinka is out Federer has begun 2017 with some of the best  and most unexpected  form of his career and after claiming Masters title number 25 at Indian Wells just over a week ago  he remains on course for number 26 this weekend having equalled his best start to a season (16-1) with a 7-6 7-6 triumph. The Swiss did not have everything his own way against Bautista Agut  needing a couple of tie-breaks to see off the Spanish 14th seed in just under two hours.,news,0
" LeBron James tried to wear silly-looking sunglasses against Wizards
","Like many Washington lobby groups, the U.S. Travel Association was quick to congratulate the new president on his victory last November.
",news,0
"A surprise new iPhone is here -- and it's red
","""We are encouraged that Mr. Trump's extensive business and hospitality background ...will make him a ready and receptive ear,"" the trade organization said. On the Republican's inauguration, the USTA's chief executive officer, Roger Dow, pledged the industry as a ""capable, willing partner.""
",news,0
"Why Superman is missing in the 'Justice League' trailer
",But almost immediately things started to go sideways. A steady drumbeat of news and policy proclamations seemed likely to damage America's $250 billion travel industry and its roughly 15 million U.S. employees.,news,0
"White House attacks Clintons in pushback against Manafort allegations
","Uber will shut down its operation in Denmark next month following the introduction of new taxi laws  the company has said  marking the latest European setback for the US ride-booking service. A company spokesman  Kristian Agerbo  said on Tuesday Uber ""must take the consequences"" of the rules  which among other things will require cabs to be fitted with seat occupancy sensors and fare meters.Uber suspends fleet of self-driving cars following Arizona crash. Uber has faced problems in cities including Madrid  Frankfurt  Paris and London  and is awaiting a decision from the European court of justice that could determine how it is regulated on the continent: as a transport service or a digital platform.",news,0
"Cristiano Ronaldo into all-time top 10 international goalscorers
","Ebony Banks  the Houston teen battling a rare form of cancer  has died -- just days after her wish to speak to her idol Beyonce was fulfilled. A spokesman for Alief Independent School District  where Banks was a student  confirmed that she passed away early Sunday morning. ""I understand she had a smile on her face till the very end  spokesman Craig Eichhorn told ABC News. Hours later, the students at Alief Hastings High School, from which Banks had recently graduated and where she was a member of the color guard for four years, organized a candlelight vigil in the band practice lot. Members of the color guard held their candles up in the air and swayed along to the song Halo"" by Beyonce.",news,0
" Elon Musk creates Neuralink brain electrode firm
","On Saturday, a Google computer clocked its third consecutive victory over Lee Se-dol, the long-reigning global champion of the world's most complex board game. That win makes the machine the clear winner in a best-of-five series.
",news,0
"Banks and Tech Firms Battle Over Something Akin to Gold: Your Data
","The achievements of the Google DeepMind computer, AlphaGo, are considered a significant advancement in artificial intelligence.
",news,0
"School Choice Fails to Make a Difference
","""To be honest, we are a bit stunned,"" said Google DeepMind CEO Demis Hassabis, after AlphaGo's third win. ""We came here to challenge Lee Se-dol, as we wanted to learn from him and see what AlphaGo was capable of.",news,0
" Former IndyCar and Nascar driver David Steele killed during Florida race
","The New York City public school system has quietly replaced breakfast cereals made by the Kellogg Company, the titan whose name is virtually synonymous with cereal, with those from a small California upstart called Back to the Roots.
",news,0
"Hillary Clinton's Team to Join Wisconsin Recount Pushed by Jill Stein
","The switch, which follows a student taste test that began last spring, adds menu options that are lower in sugar and sodium and higher in whole grains. Coming in the nation's largest school system, and potentially spreading to other large districts that collaborate with New York in bulk purchases, it is one of the biggest signs to date of the inroads that small food companies are making into the mainstream.",news,0
"Katy Perry pays tribute to fan killed in an auto accident
","Apple is cutting prices on two iPad models and introducing red iPhones, but the company held back on updating its higher-end iPad Pro tablets.
",news,0
"Google Maps can tell your friends exactly where you are
","A much-speculated 10.5-inch iPad Pro didn't materialize, nor did new versions of existing sizes in the Pro lineup, which is aimed at businesses and creative professionals. The new devices are mostly refreshes of existing models. Apple unveiled them through press releases Tuesday rather than a staged event, as it typically does for bigger product releases.",news,0
" China's Tencent buys 5% stake in Tesla
","Fox News host Bill O'Reilly apologized Tuesday after coming under fire for mocking a black congresswoman's hair. During an appearance on ""Fox & Friends  O'Reilly reacted to a clip of Rep. Maxine Waters (D-CA) delivering a speech on the floor of the House of Representatives. I didn't hear a word she said  O'Reilly said of Waters. I was looking at the James Brown wig."" ""If we have a picture of James Brown -- it's the same wig  he added. The remarks were widely denounced as both racist and sexist on Twitter, where O'Reilly's name was trending Tuesday morning and afternoon. In a statement Tuesday afternoon, O'Reilly expressed regret for the remarks. As I have said many times  I respect Congresswoman Maxine Waters for being sincere in her beliefs  he said. I said that again today on Fox & Friends calling her 'old school.' Unfortunately  I also made a jest about her hair which was dumb. I apologize.""",news,0
" Basketball 'bible' auction sets sports memorabilia record
",For more than two decades  free trade has been at the heart of Mexico's relationship with America  responsible for pumping a stream of vehicles  audio components and avocados north and cheap corn  cattle and software south. To the nation's leaders  it was central  vital  nonnegotiable. At least until President Trump came along  promising to upend nearly $500 billion in annual trade between the two countries if it could not be re-engineered more in America's favor. Now  the Mexico's leaders have a new priority: urging their American counterparts to hurry up and get on with it. While free trade has long been an article of faith in Mexico  uncertainty over the fate of the North American Free Trade Agreement is hitting the country hard.,news,0
"Schumer: Trump showed 'basic lack of competence' on health care bill
","In business, as a candidate and now as president, Mr. Trump has valued loyalty as the defining attribute in family, aides or Republicans in Congress. He does not always get it, as the defection of the Freedom Caucus last week on the health bill he was trying to pass made abundantly clear.
",news,0
" Shailene Woodley reaches deal to avoid jail over pipeline protest
","But Mr. Trump can always count on Ms. Graff's allegiance, and that has made Ms. Graff, from her office in Trump Tower, a major figure in the operations of the White House for a simple reason: She is believed to have a direct line to the president.
",news,0
"Twitter adds more anti-abuse tools
","With her deep Queens accent and unerring deference to her boss (she has always referred to him as Mr. Trump or, usually, as Mr. T), Ms. Graff, 64, is a familiar voice to New York's business leaders, the nation's political reporters and now old associates hoping to circumvent the normal channels of communication to reach Mr. Trump.",news,0
"
","Maria Sharapova said she feels vindicated by the reduction of her doping suspension  adding that she ""fought hard for the truth"" as she prepares to return to tennis after a 15-month ban . Russia's former world No1 was initially barred for two years after testing positive at the 2016 Australian Open for meldonium  a medication she had been taking for 10 years within the rules  but that was reclassified as a banned drug. She will return at April's Porsche Grand Prix thanks to a wildcard entry and says she feels she has got her ""day job back"".",news,0
" The writing on the wall
","Canada's largest school board has barred all future field trips to the United States because of concerns that some students could get caught up in President Donald Trump's travel ban. And a girls chorus in California just became the latest U.S. institution to ditch an overseas trip for the same reason. 
",news,0
"US leads boycott of UN talks to ban nuclear weapons
","The Toronto District School Board wrote in a letter to principals Thursday that its decision was passed unanimously at a meeting held the previous night, amid concerns for protecting student safety and embracing values of equity and inclusion. Trustees also feared that border problems could scuttle trips at the last minute for students who often fundraise for many months to pay for travel.",news,0
" A Value Is Assigned to Tom Brady's Missing Jersey: $500
","Training wheels for autonomous vehicles come in the shape of a human behind the wheel. But when you remove the safety driver from a robotic car, two tons of metal is let loose.
",news,0
" Hedge fund exec whose former firm was linked to Madoff jumps to his death
","Just last week, California's Department of Motor Vehicles announced that it plans to allow companies to test autonomous cars on its roads without on-board backup drivers before the end of the year. The cars would be required to have a remote operator capable of keeping an eye on the car, but nevertheless, as the Guardian correctly points out, the news feels like a defining moment for the technology. Has it matured enough to finally let us place our faith in the ability of the robot?",news,0
"Supreme Court Expands Rights for Students with Disabilities
",Seattle Seahawks have confirmed the capture of former Green Bay running back Eddie Lacy with Jamaal Charles also scheduled to visit. Seattle have been linked with a host of running backs since free agency began last Thursday and NFL Insider Ian Rapoport has confirmed that Charles will still visit the Pacific North West this week. The capture of Lacy on a one-year deal gives the player the chance to prove he is over his injury problems and potentially give Seattle a fearsome looking running back line-up. Earlier this month head coach Pete Carroll confirmed that Thomas Rawls  after an injury-plagued season and CJ Prosise would compete for the starting RB slot but Lacy gives them added production if he can stay fit and would allow Prosise to show his versatility.,news,0
"Ex-Fox News CFO offered immunity in Roger Ailes investigation
","RANCHO CUCAMONGA, Calif. -  Authorities learned a 6-year-old brought a gun to an elementary school outside Los Angeles, but parents of other students didn't learn about it for nearly two weeks.
",news,0
"Universities Push Back Against Trump on Immigration
","The student's grandmother found the firearm in his backpack earlier in March. The Sun newspaper reported (goo.gl/3spf8z) that the child said he received it from another student in the Cucamonga School District, about 40 miles (64 kilometers) east of Los Angeles.",news,0
"Hillary Clinton, Mocking and Taunting in Debate, Turns the Tormentor
","The Obama administration set new standards and quality control measures for the federal child care subsidy program Friday, requiring states to perform criminal background checks on educators and to conduct annual unannounced inspections at child care centers.
",news,0
"Apple's Devices Lose Luster in American Classrooms
","The rules come in the wake of Congress approving and the president signing a sweeping update to the Child Care Development Block Grant, the federal program that provides subsidies to working families for child care.",news,0
